sp,lon,lat
Araucaria.sp,-49.989,-29.1006
Araucaria.sp,-50.8549,-29.3125
Araucaria.sp,-50.513,-29.4801
Araucaria.sp,-50.5942,-29.3587
Araucaria.sp,-52.1732,-28.3353
Araucaria.sp,-52.0676,-28.1801
Araucaria.sp,-50.0793,-29.0796
Araucaria.sp,-50.424,-28.7272
Araucaria.sp,-52.5572,-30.5642
Araucaria.sp,-51.2495,-29.2762
Araucaria.sp,-50.5756,-29.1206
Araucaria.sp,-50.2859,-27.8332
Araucaria.sp,-49.6635,-28.5829
Araucaria.sp,-49.8653,-28.3326
Araucaria.sp,-51.2824,-28.8525
Araucaria.sp,-50.5262,-27.3375
Araucaria.sp,-52.4433,-26.5392
Araucaria.sp,-51.0235,-26.8113
Araucaria.sp,-51.2199,-27.0821
Araucaria.sp,-51.1467,-27.0814
Araucaria.sp,-51.9486,-26.7885
Araucaria.sp,-51.6205,-28.1929
Araucaria.sp,-51.8365,-27.9358
Araucaria.sp,-52.8335,-27.9082
Araucaria.sp,-53.0046,-27.3716
Araucaria.sp,-52.6409,-27.1617
Araucaria.sp,-51.2055,-27.4411
Araucaria.sp,-51.8959,-27.0039
Araucaria.sp,-50.1403,-26.3816
Araucaria.sp,-49.9139,-26.3476
Araucaria.sp,-51.5445,-26.1638
Araucaria.sp,-52.0126,-25.8335
Araucaria.sp,-51.5854,-24.628
Araucaria.sp,-50.9399,-27.8858
Araucaria.sp,-50.3543,-25.8699
Araucaria.sp,-51.2601,-25.7038
Araucaria.sp,-52,-28.7957
Araucaria.sp,-52.4981,-28.2193
Araucaria.sp,-50.4932,-24.5887
Araucaria.sp,-49.9896,-24.2074
Araucaria.sp,-49.6537,-24.2469
Araucaria.sp,-50.5707,-25.387
Araucaria.sp,-52.6585,-26.2452
Araucaria.sp,-53.239,-26.3082
Araucaria.sp,-52.2023,-24.8961
Araucaria.sp,-51.7427,-24.7769
Araucaria.sp,-51.9935,-25.8478
Araucaria.sp,-51.9824,-26.0086
Araucaria.sp,-52.3998,-25.4705
Araucaria.sp,-52.2361,-25.7949
Araucaria.sp,-52.1251,-25.7694
Araucaria.sp,-52.1902,-26.4928
Araucaria.sp,-53.0504,-26.7681
Araucaria.sp,-52.9914,-26.8584
Araucaria.sp,-52.3383,-27.065
Araucaria.sp,-52.3993,-26.9073
Araucaria.sp,-52.0417,-27.2543
Araucaria.sp,-53.1025,-27.4816
Araucaria.sp,-53.4934,-27.6147
Araucaria.sp,-52.6257,-28.71
Araucaria.sp,-52.2982,-29.0516
Araucaria.sp,-52.3243,-29.1071
Araucaria.sp,-51.3928,-29.6347
Araucaria.sp,-50.85,-29.3909
Araucaria.sp,-50.8339,-29.3506
Araucaria.sp,-51.255,-24.5887
Araucaria.sp,-50.7134,-24.0558
Araucaria.sp,-53.2576,-25.185
Araucaria.sp,-53.3548,-25.1707
Araucaria.sp,-53.7213,-25.4327
Araucaria.sp,-53.4893,-26.032
Araucaria.sp,-52.3555,-24.0652
Araucaria.sp,-49.6647,-26.0117
Araucaria.sp,-49.5429,-26.0492
Araucaria.sp,-49.1827,-25.9118
Araucaria.sp,-49.2359,-26.187
Araucaria.sp,-49.4081,-26.2466
Araucaria.sp,-49.5099,-26.4946
Araucaria.sp,-49.5281,-26.6149
Araucaria.sp,-50.368,-27.4649
Araucaria.sp,-50.1421,-27.5819
Araucaria.sp,-53.1141,-30.8993
Araucaria.sp,-52.5572,-30.5642
Araucaria.sp,-51.3281,-30.1012
Araucaria.sp,-51.23,-30.0331
Araucaria.sp,-51.2372,-30.0191
Araucaria.sp,-50.1744,-29.4808
Araucaria.sp,-51.9596,-29.4678
Araucaria.sp,-50.5882,-29.446
Araucaria.sp,-50.5706,-29.4214
Araucaria.sp,-50.87,-29.3755
Araucaria.sp,-51.1102,-29.3797
Araucaria.sp,-51.2495,-29.2762
Araucaria.sp,-51.5336,-29.2561
Araucaria.sp,-51.3478,-29.225
Araucaria.sp,-51.5192,-29.1714
Araucaria.sp,-51.1794,-29.1681
Araucaria.sp,-51.6317,-29.1628
Araucaria.sp,-53.8358,-29.0806
Araucaria.sp,-50.1447,-29.0478
Araucaria.sp,-51.1817,-29.0289
Araucaria.sp,-51.0681,-28.9711
Araucaria.sp,-51.5494,-28.9361
Araucaria.sp,-49.4858,-28.9347
Araucaria.sp,-50.3578,-28.8847
Araucaria.sp,-50.4167,-28.6678
Araucaria.sp,-49.3208,-28.5178
Araucaria.sp,-50.9339,-28.5122
Araucaria.sp,-49.9477,-28.439
Araucaria.sp,-49.9478,-28.4389
Araucaria.sp,-49.3967,-28.3931
Araucaria.sp,-49.9167,-28.3
Araucaria.sp,-49.9317,-28.2939
Araucaria.sp,-49.9317,-28.2939
Araucaria.sp,-49.9317,-28.2939
Araucaria.sp,-49.9317,-28.2939
Araucaria.sp,-49.7691,-28.2605
Araucaria.sp,-50.6701,-28.2602
Araucaria.sp,-51.1903,-28.0536
Araucaria.sp,-50.8497,-28.035
Araucaria.sp,-49.8221,-28.0252
Araucaria.sp,-49.4919,-28.0131
Araucaria.sp,-50.8036,-27.9889
Araucaria.sp,-50.8036,-27.9889
Araucaria.sp,-49.8731,-27.9528
Araucaria.sp,-50.105,-27.9289
Araucaria.sp,-51.155,-27.9014
Araucaria.sp,-51.155,-27.9014
Araucaria.sp,-49.7909,-27.9007
Araucaria.sp,-50.7608,-27.8992
Araucaria.sp,-52.2275,-27.8903
Araucaria.sp,-50.3469,-27.8328
Araucaria.sp,-50.3261,-27.8161
Araucaria.sp,-50.3258,-27.8161
Araucaria.sp,-49.4892,-27.7972
Araucaria.sp,-49.3336,-27.7003
Araucaria.sp,-51.13,-27.6892
Araucaria.sp,-52.2739,-27.6342
Araucaria.sp,-50.9967,-27.63
Araucaria.sp,-49.4108,-27.6292
Araucaria.sp,-51.0225,-27.6111
Araucaria.sp,-48.5492,-27.5967
Araucaria.sp,-50.8049,-27.4851
Araucaria.sp,-50.8056,-27.4845
Araucaria.sp,-50.3803,-27.4842
Araucaria.sp,-50.8063,-27.484
Araucaria.sp,-51.9064,-27.4617
Araucaria.sp,-51.2247,-27.4017
Araucaria.sp,-51.5678,-27.3611
Araucaria.sp,-49.6431,-27.2144
Araucaria.sp,-49.6431,-27.2142
Araucaria.sp,-52.6183,-27.0964
Araucaria.sp,-51.6617,-27.0708
Araucaria.sp,-50.4267,-26.9608
Araucaria.sp,-49.0661,-26.9194
Araucaria.sp,-51.3883,-26.9073
Araucaria.sp,-49.0791,-26.9055
Araucaria.sp,-49.2317,-26.8978
Araucaria.sp,-50.964,-26.8612
Araucaria.sp,-51.015,-26.7753
Araucaria.sp,-51.015,-26.7753
Araucaria.sp,-51.9906,-26.4844
Araucaria.sp,-51.9906,-26.4842
Araucaria.sp,-49.5123,-26.4321
Araucaria.sp,-51.3156,-26.4275
Araucaria.sp,-48.8456,-26.3044
Araucaria.sp,-52.7839,-26.2769
Araucaria.sp,-49.3044,-26.2556
Araucaria.sp,-49.3786,-26.2503
Araucaria.sp,-51.0783,-26.2381
Araucaria.sp,-50.3897,-26.1772
Araucaria.sp,-50.3219,-26.1067
Araucaria.sp,-50.3222,-26.1064
Araucaria.sp,-52.5678,-25.9797
Araucaria.sp,-49.1989,-25.9283
Araucaria.sp,-49.1989,-25.9281
Araucaria.sp,-49.7261,-25.7886
Araucaria.sp,-51.6597,-25.6956
Araucaria.sp,-49.6356,-25.5839
Araucaria.sp,-49.2064,-25.5347
Araucaria.sp,-48.8342,-25.4769
Araucaria.sp,-50.6511,-25.4672
Araucaria.sp,-50.6508,-25.4672
Araucaria.sp,-52.9081,-25.4497
Araucaria.sp,-49.1925,-25.4447
Araucaria.sp,-49.2369,-25.4428
Araucaria.sp,-49.0633,-25.4417
Araucaria.sp,-49.2731,-25.4278
Araucaria.sp,-49.9986,-25.4197
Araucaria.sp,-50.5475,-25.4133
Araucaria.sp,-52.4161,-25.4078
Araucaria.sp,-49.1149,-25.4019
Araucaria.sp,-49.2598,-25.3975
Araucaria.sp,-49.1207,-25.3829
Araucaria.sp,-49.1254,-25.3812
Araucaria.sp,-49.2602,-25.3643
Araucaria.sp,-53.9658,-25.3311
Araucaria.sp,-49.1592,-25.3219
Araucaria.sp,-49.1586,-25.3158
Araucaria.sp,-49.2242,-25.2917
Araucaria.sp,-53.1567,-25.2033
Araucaria.sp,-53.1567,-25.2031
Araucaria.sp,-50.1648,-25.1008
Araucaria.sp,-51.5726,-25.0699
Araucaria.sp,-51.5645,-25.0436
Araucaria.sp,-51.5297,-25.0428
Araucaria.sp,-50.5842,-25.0239
Araucaria.sp,-49.2611,-24.8236
Araucaria.sp,-50.0119,-24.7911
Araucaria.sp,-48.6789,-24.5575
Araucaria.sp,-50.4136,-24.5094
Araucaria.sp,-49.7058,-24.2511
Araucaria.sp,-52.3099,-24.2061
Araucaria.sp,-50.3084,-24.1431
Araucaria.sp,-49.34,-24.11
Araucaria.sp,-52.3608,-24.0486
Araucaria.sp,-52.3599,-24.0169
Araucaria.sp,-48.34,-24
Araucaria.sp,-45.59,-22.73
Araucaria.sp,-45.3197,-22.5819
Araucaria.sp,-45.3196,-22.5819
Araucaria.sp,-45.28,-22.5092
Araucaria.sp,-44.5631,-22.4961
Araucaria.sp,-44.9667,-22.3903
Araucaria.sp,-43.8278,-22.0892
Araucaria.sp,-44.7776,-22.3659
Araucaria.sp,-45.4434,-22.683
Araucaria.sp,-49.9499,-25.0727
Araucaria.sp,-49.2198,-25.4359
Araucaria.sp,-48.3268,-23.9952
Araucaria.sp,-49.0751,-24.992
Araucaria.sp,-52.5776,-26.4648
Araucaria.sp,-52.3342,-25.9108
Araucaria.sp,-51.3993,-25.0367
Araucaria.sp,-51.3879,-26.5116
Araucaria.sp,-50.5608,-25.4807
Araucaria.sp,-49.683,-25.7904
Araucaria.sp,-52.8054,-23.8824
Araucaria.sp,-52.7752,-25.2561
Araucaria.sp,-53.657,-25.1353
Araucaria.sp,-53.7956,-25.1441
Araucaria.sp,-53.6854,-25.0778
Araucaria.sp,-53.8987,-25.4217
Araucaria.sp,-53.6494,-25.3394
Araucaria.sp,-53.3471,-24.8039
Araucaria.sp,-53.3444,-25.0077
Araucaria.sp,-52.9822,-25.0237
Araucaria.sp,-52.2132,-26.5011
Araucaria.sp,-44.7244,-22.1371
Araucaria.sp,-45.3197,-22.5819
Araucaria.sp,-45.3,-22.5833
Araucaria.sp,-46.4375,-22.8708
Araucaria.sp,-45.0767,-22.4653
Araucaria.sp,-45.2422,-22.5538
Araucaria.sp,-45.59,-22.73
Araucaria.sp,-44.7365,-22.1362
Araucaria.sp,-46.0583,-22.8871
Araucaria.sp,-44.7287,-22.1478
Araucaria.sp,-45.3573,-22.5477
Araucaria.sp,-44.781,-22.3634
Araucaria.sp,-50.0975,-29.1917
Araucaria.sp,-49.989,-29.1006
Araucaria.sp,-50.8549,-29.3125
Araucaria.sp,-50.513,-29.4801
Araucaria.sp,-50.5942,-29.3587
Araucaria.sp,-52.1732,-28.3353
Araucaria.sp,-52.0676,-28.1801
Araucaria.sp,-50.0793,-29.0796
Araucaria.sp,-50.424,-28.7272
Araucaria.sp,-52.5572,-30.5642
Araucaria.sp,-51.2495,-29.2762
Araucaria.sp,-50.5756,-29.1206
Araucaria.sp,-50.2859,-27.8332
Araucaria.sp,-49.6635,-28.5829
Araucaria.sp,-49.8653,-28.3326
Araucaria.sp,-51.2824,-28.8525
Araucaria.sp,-50.5262,-27.3375
Araucaria.sp,-52.4433,-26.5392
Araucaria.sp,-51.0235,-26.8113
Araucaria.sp,-51.2199,-27.0821
Araucaria.sp,-51.1467,-27.0814
Araucaria.sp,-51.9486,-26.7885
Araucaria.sp,-51.6205,-28.1929
Araucaria.sp,-51.8365,-27.9358
Araucaria.sp,-52.8335,-27.9082
Araucaria.sp,-53.0046,-27.3716
Araucaria.sp,-52.6409,-27.1617
Araucaria.sp,-51.2055,-27.4411
Araucaria.sp,-51.8959,-27.0039
Araucaria.sp,-50.1403,-26.3816
Araucaria.sp,-49.9139,-26.3476
Araucaria.sp,-51.5445,-26.1638
Araucaria.sp,-52.0126,-25.8335
Araucaria.sp,-51.5854,-24.628
Araucaria.sp,-50.9399,-27.8858
Araucaria.sp,-50.3543,-25.8699
Araucaria.sp,-51.2601,-25.7038
Araucaria.sp,-52,-28.7957
Araucaria.sp,-52.4981,-28.2193
Araucaria.sp,-50.4932,-24.5887
Araucaria.sp,-49.9896,-24.2074
Araucaria.sp,-49.6537,-24.2469
Araucaria.sp,-50.5707,-25.387
Araucaria.sp,-52.6585,-26.2452
Araucaria.sp,-53.239,-26.3082
Araucaria.sp,-52.2023,-24.8961
Araucaria.sp,-51.7427,-24.7769
Araucaria.sp,-51.9935,-25.8478
Araucaria.sp,-51.9824,-26.0086
Araucaria.sp,-52.3998,-25.4705
Araucaria.sp,-52.2361,-25.7949
Araucaria.sp,-52.1251,-25.7694
Araucaria.sp,-52.1902,-26.4928
Araucaria.sp,-53.0504,-26.7681
Araucaria.sp,-52.9914,-26.8584
Araucaria.sp,-52.3383,-27.065
Araucaria.sp,-52.3993,-26.9073
Araucaria.sp,-52.0417,-27.2543
Araucaria.sp,-53.1025,-27.4816
Araucaria.sp,-53.4934,-27.6147
Araucaria.sp,-52.6257,-28.71
Araucaria.sp,-52.2982,-29.0516
Araucaria.sp,-52.3243,-29.1071
Araucaria.sp,-51.3928,-29.6347
Araucaria.sp,-50.85,-29.3909
Araucaria.sp,-50.8339,-29.3506
Araucaria.sp,-51.255,-24.5887
Araucaria.sp,-50.7134,-24.0558
Araucaria.sp,-53.2576,-25.185
Araucaria.sp,-53.3548,-25.1707
Araucaria.sp,-53.7213,-25.4327
Araucaria.sp,-53.4893,-26.032
Araucaria.sp,-52.3555,-24.0652
Araucaria.sp,-49.6647,-26.0117
Araucaria.sp,-49.5429,-26.0492
Araucaria.sp,-49.1827,-25.9118
Araucaria.sp,-49.2359,-26.187
Araucaria.sp,-49.4081,-26.2466
Araucaria.sp,-49.5099,-26.4946
Araucaria.sp,-49.5281,-26.6149
Araucaria.sp,-50.368,-27.4649
Araucaria.sp,-50.1421,-27.5819
